generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2650000,15,61.6064,-3768.95,9.48328,0.191
2660000,14,65.5924,-3779.72,3.61154,0.233
2670000,8,26.7366,-3827.53,4.60825,0.24
2680000,13,62.3017,-3773.93,4.61251,0.209
2690000,15,65.0666,-3784.12,6.81943,0.23
2700000,16,72.8119,-3771.07,5.4235,0.28
2710000,13,58.3971,-3804.8,4.39768,0.283
2720000,11,45.4817,-3823.69,8.21883,0.314
2730000,12,52.782,-3791.43,5.79791,0.192
2740000,12,55.2803,-3776.58,3.19293,0.175
2750000,12,54.6616,-3774.18,6.1952,0.237
2760000,9,38.2892,-3819.24,5.82767,0.213636
2770000,8,39.3467,-3831.66,4.02658,0.234583
2780000,12,52.1162,-3783.86,6.80545,0.227
2790000,7,31.8431,-3831.4,4.3659,0.205
2800000,8,39.6755,-3828.98,4.74485,0.239
2810000,8,42.7249,-3821.55,2.13226,0.229
2820000,13,59.3337,-3775.5,4.55182,0.244
2830000,12,53.1155,-3778.45,5.10875,0.202
2840000,13,52.9675,-3789.08,6.4893,0.205
2850000,7,32.1119,-3834.71,3.683,0.224265
2860000,12,47.4035,-3781.21,9.70958,0.234
2870000,6,28.3549,-3836.06,3.70531,0.226
2880000,16,70.5739,-3780.61,7.52665,0.245
2890000,10,40.6149,-3809.63,6.49664,0.243
2900000,13,58.3797,-3787.62,8.61654,0.229
2910000,14,64.3399,-3777.62,7.79887,0.269667
2920000,16,79.0006,-3775.67,4.22522,0.269
2930000,16,71.2775,-3768.99,7.61441,0.246
2940000,9,45.6018,-3827.62,2.89497,0.247
2950000,6,25.695,-3835.98,5.21656,0.21
2960000,7,32.3149,-3821.26,3.98022,0.183
2970000,17,77.9594,-3789.75,11.3659,0.258242
2980000,10,45.4592,-3824.85,5.41982,0.251333
2990000,8,39.991,-3825.55,4.18288,0.175
3000000,8,37.4356,-3823.61,4.29771,0.2
3010000,7,31.0464,-3828.09,5.09904,0.234609
3020000,8,40.0048,-3821.74,3.08581,0.177
3030000,15,62.8209,-3772.94,8.73547,0.202
3040000,7,30.7426,-3820.86,2.66199,0.142
3050000,7,31.6579,-3821.82,2.95714,0.180333
3060000,17,75.9086,-3769.27,7.36435,0.263
3070000,16,74.636,-3773.93,8.09494,0.216
3080000,17,78.2946,-3755.68,8.49684,0.224
3090000,17,72.4744,-3757.46,7.90589,0.258
3100000,15,62.3019,-3761.09,9.75193,0.252
3110000,8,36.9454,-3828.96,3.32548,0.244391
3120000,15,71.4976,-3767.64,6.71901,0.226
3130000,15,67.7828,-3774.53,11.0983,0.224
3140000,15,73.2124,-3767.4,5.93988,0.247
3150000,14,61.8559,-3763.09,11.6809,0.223
3160000,7,32.3284,-3831.55,4.82012,0.195969
3170000,16,75.2631,-3760.38,4.73999,0.225
3180000,14,68.9622,-3763.72,5.88401,0.229
3190000,15,67.539,-3766.79,8.85301,0.245
3200000,16,67.0916,-3769.21,9.14065,0.242
3210000,8,40.633,-3817.81,2.38804,0.212
3220000,14,66.8869,-3771.31,6.25111,0.229
3230000,14,64.6854,-3767.54,6.91591,0.262
3240000,14,68.1452,-3772.28,6.10182,0.261
3250000,8,30.2479,-3824.52,4.96556,0.2655
3260000,9,34.2574,-3823.78,5.83648,0.242
3270000,19,87.5801,-3775.04,10.7878,0.281
3280000,15,71.8561,-3761.26,7.53942,0.243
3290000,8,38.2032,-3820.71,4.08395,0.233
3300000,7,32.9159,-3822.57,4.04577,0.176
3310000,7,28.9095,-3823.66,4.48543,0.181462
3320000,7,30.7947,-3821.65,6.02351,0.174
3330000,14,67.5956,-3771.04,6.45031,0.256
3340000,16,72.7558,-3766.22,9.07842,0.237
3350000,17,78.1123,-3757.31,10.9373,0.238
3360000,7,36.6706,-3834.87,3.0998,0.244
3370000,9,42.3275,-3826.83,3.71461,0.23
3380000,16,75.5815,-3761.87,10.5356,0.258
3390000,15,72.0474,-3759.68,6.29424,0.233
3400000,7,33.6636,-3838.95,4.73597,0.265833
3410000,8,34.524,-3823.05,7.78778,0.227333
3420000,15,72.1729,-3767.46,7.36154,0.23
3430000,15,69.3988,-3766.58,10.7088,0.257
3440000,16,76.977,-3783.67,5.62698,0.259
3450000,7,33.8058,-3824.9,3.34503,0.2257
3460000,13,58.1899,-3771.74,8.79015,0.225
3470000,16,69.9546,-3768.72,7.65712,0.205
3480000,15,68.5813,-3782.74,4.85095,0.257
3490000,14,61.6138,-3772.16,5.84403,0.218625
3500000,8,35.2839,-3829.38,4.38151,0.1835
3510000,8,38.4141,-3831.76,2.60896,0.231
3520000,15,66.1434,-3784.65,7.64725,0.232
3530000,14,65.9529,-3773.35,6.18526,0.209
3540000,8,39.3414,-3830.35,5.07821,0.269
3550000,13,62.3838,-3769.42,6.71795,0.233
3560000,13,60.7722,-3773.7,5.26487,0.225
3570000,13,58.8492,-3774.16,6.22956,0.211
3580000,7,27.3733,-3831.21,3.85505,0.182
3590000,7,31.0714,-3825.51,1.09495,0.231619
3600000,15,73.009,-3774.42,5.69231,0.242
3610000,15,67.0928,-3770.74,6.91879,0.259
3620000,15,66.1367,-3766.56,7.40652,0.215
3630000,9,34.5339,-3819.38,6.87325,0.226
3640000,15,72.3599,-3773.61,6.09211,0.252
3650000,8,35.181,-3832.9,5.59336,0.236
3660000,7,31.9424,-3816.31,2.20393,0.2044
3670000,17,81.0625,-3770.67,9.12738,0.25
3680000,16,76.2419,-3773.34,8.2635,0.286
3690000,15,71.63,-3772.99,6.92077,0.237
3700000,14,64.4666,-3775.33,7.55529,0.257
3710000,16,71.9386,-3785.92,5.43599,0.266
3720000,10,44.5816,-3813.72,4.40172,0.234
3730000,7,31.624,-3820.6,3.66855,0.191
3740000,9,42.79,-3815.51,4.05449,0.206431
3750000,12,54.4425,-3788.85,8.99973,0.237667
3760000,13,55.5479,-3788.72,6.68315,0.262
3770000,13,53.6501,-3801.04,11.3875,0.291
3780000,11,48.1751,-3809.79,8.36985,0.279444
3790000,8,37.8896,-3827.56,2.55534,0.262
3800000,7,28.7766,-3829.81,4.05078,0.184
3810000,12,54.8237,-3785.61,8.5096,0.225903
3820000,7,34.3386,-3827.64,2.47802,0.213562
3830000,13,57.7868,-3788.29,8.40036,0.234
3840000,13,60.311,-3784.71,5.50415,0.247
3850000,8,37.9769,-3830.49,3.39856,0.233
3860000,12,49.8168,-3777.36,7.28539,0.223
3870000,9,39.7213,-3823.04,4.10926,0.259
3880000,12,50.4804,-3782.2,6.20767,0.19975
3890000,10,48.4222,-3816.21,3.29996,0.253333
3900000,13,57.0131,-3811.6,5.91886,0.279
3910000,11,51.0618,-3814.98,3.69745,0.291
3920000,12,49.6005,-3784.92,7.60137,0.234
3930000,12,52.4585,-3817.22,7.07949,0.291
3940000,10,38.5555,-3823.77,4.81745,0.232
3950000,8,38.9445,-3820.79,1.82787,0.251
3960000,12,56.1906,-3784.49,4.27503,0.225
3970000,11,49.815,-3813.52,6.4724,0.276
3980000,13,62.8434,-3783.81,6.01489,0.215
3990000,14,62.4718,-3782.31,8.80541,0.27
4000000,16,75.3158,-3779.03,7.83191,0.293
4010000,7,31.7772,-3836.73,2.99873,0.225
4020000,16,66.9072,-3798.2,11.1366,0.279
4030000,9,39.9808,-3832.3,3.48713,0.234
4040000,8,35.9605,-3817.62,2.36339,0.181167
4050000,8,36.1906,-3834.16,6.10736,0.232
4060000,14,59.2333,-3790.61,7.49301,0.221
4070000,13,55.9437,-3783.64,8.81672,0.214
4080000,8,36.6079,-3820.65,2.86759,0.171
4090000,13,60.4793,-3788.5,6.08136,0.2485
4100000,10,42.3548,-3827.66,6.6643,0.234667
4110000,9,42.8435,-3822.82,1.76015,0.216
4120000,13,60.2921,-3784.8,6.36114,0.229
4130000,13,63.5934,-3786.14,5.33377,0.235
4140000,10,38.5076,-3813.19,5.67918,0.236467
4150000,8,36.7825,-3825.74,3.22484,0.215667
4160000,9,37.5234,-3822.54,7.74642,0.236
4170000,10,38.4547,-3816.3,4.61184,0.257
4180000,11,50.8069,-3804.5,4.51393,0.195
4190000,9,36.4619,-3826.6,5.98291,0.24
4200000,9,34.1305,-3823.94,9.38593,0.209
4210000,12,55.3452,-3790.95,5.31148,0.202857
4220000,8,30.496,-3818.38,5.45293,0.214
4230000,7,27.9561,-3831.82,3.05513,0.193
4240000,12,53.4696,-3791.23,4.84693,0.217
4250000,7,30.002,-3826.4,3.45908,0.205
4260000,7,29.5154,-3828.86,7.00084,0.244
4270000,12,57.0918,-3790.87,4.67933,0.205
4280000,13,51.0385,-3783.8,9.91155,0.207429
4290000,7,28.3439,-3831.77,3.2587,0.211133
4300000,11,46.912,-3811.43,3.91813,0.2512
4310000,13,61.1823,-3783.92,6.22643,0.197
4320000,12,57.25,-3789.3,2.15644,0.203
4330000,8,35.3893,-3824.14,3.41916,0.265
4340000,7,27.8523,-3827.21,6.59838,0.213444
4350000,12,53.5881,-3780.26,7.32572,0.201
4360000,12,57.7862,-3783.81,4.2401,0.218
4370000,12,55.1405,-3784.55,5.02907,0.216
4380000,9,38.09,-3821,4.90082,0.23
4390000,13,56.437,-3777.6,7.51002,0.211
4400000,14,54.4632,-3765.6,12.1411,0.22
4410000,8,30.4219,-3833.97,8.50201,0.214
4420000,7,31.3915,-3824.69,4.14672,0.205727
4430000,17,78.5785,-3786.06,6.6702,0.26
4440000,15,66.1605,-3777.94,9.27197,0.277
4450000,13,56.5445,-3765.74,4.85914,0.205
4460000,13,60.2666,-3768.05,6.82334,0.215
4470000,7,28.0234,-3823.3,5.87388,0.223909
4480000,11,49.5056,-3821.79,4.84298,0.25
4490000,13,59.8881,-3770.81,6.01146,0.181
4500000,14,65.7562,-3763.77,7.40435,0.199
4510000,7,25.7334,-3818.54,2.53247,0.177
4520000,13,58.4078,-3817.93,5.40051,0.250077
4530000,10,38.2678,-3820.94,9.16908,0.226304
4540000,9,37.9153,-3821.9,6.09655,0.237
4550000,14,67.9397,-3779.59,6.09946,0.226
4560000,9,34.6264,-3820.18,9.33,0.225
4570000,15,67.3108,-3771.74,7.50653,0.212
4580000,15,67.5673,-3769.49,10.2118,0.204
4590000,13,60.6384,-3774.25,6.28634,0.203
4600000,13,57.9386,-3768.4,7.63781,0.2
4610000,15,67.3636,-3777.85,6.70247,0.23
4620000,13,54.1664,-3776.29,6.86112,0.198
4630000,14,54.5089,-3783.96,9.27216,0.22
4640000,10,46.8675,-3819.35,4.0596,0.24325
4650000,10,46.9661,-3827.72,5.78447,0.2335
4660000,9,38.0148,-3817.61,5.88044,0.231333
4670000,14,60.9967,-3782.09,7.03667,0.199
4680000,9,37.5151,-3816.7,7.10562,0.26
4690000,15,60.4763,-3765.74,5.40693,0.2595
4700000,8,35.8483,-3828.97,4.46818,0.214
4710000,10,39.3587,-3826.8,7.18903,0.238417
4720000,14,62.2812,-3773.8,10.6752,0.204
4730000,13,59.6225,-3775.97,7.54178,0.196
4740000,8,36.849,-3827.21,4.23042,0.219
4750000,13,58.7503,-3764.88,5.52928,0.197
4760000,13,58.5624,-3767.5,5.82312,0.17
4770000,13,52.4339,-3771.18,9.77392,0.198
4780000,13,57.2351,-3781.44,6.52186,0.195
4790000,9,42.2544,-3822.34,3.88029,0.225
4800000,14,61.8174,-3765.94,6.76195,0.216
4810000,7,32.2071,-3835.24,3.13574,0.212
4820000,15,70.2017,-3767.39,6.74227,0.212
4830000,16,79.5608,-3779.99,7.43602,0.223
4840000,14,66.3434,-3767.96,5.84481,0.195
4850000,14,66.6648,-3772.58,5.84275,0.217
4860000,15,64.3443,-3762.88,9.57398,0.192
4870000,15,65.4691,-3769.43,9.23947,0.221
4880000,15,63.4454,-3762.05,11.7405,0.2425
4890000,9,42.709,-3822.45,5.5366,0.232
4900000,10,44.588,-3825.25,7.49006,0.233
4910000,14,60.46,-3767.75,8.00412,0.208
4920000,9,39.6779,-3817.17,4.37791,0.218
4930000,15,64.2026,-3767.49,8.31906,0.228
4940000,7,31.0218,-3833.96,3.98051,0.184
4950000,15,59.5603,-3769.41,9.66272,0.18
4960000,7,29.7671,-3822.99,4.57764,0.175
4970000,15,55.2513,-3770.18,11.5287,0.202
4980000,14,63.5757,-3774.78,10.2537,0.234
4990000,16,80.6142,-3768.16,4.3772,0.268
5000000,10,51.552,-3827.44,4.13385,0.2405
5010000,9,34.5254,-3824.82,8.10328,0.234
5020000,8,37.5156,-3820.55,3.79668,0.2
5030000,10,44.9654,-3812.73,3.67911,0.239
5040000,14,54.1084,-3818.13,7.42954,0.2652
5050000,9,42.7479,-3822.61,3.74132,0.237
5060000,10,47.8277,-3816.24,1.99983,0.244667
5070000,10,43.8465,-3818.29,4.4869,0.2825
5080000,13,61.7761,-3782.89,7.61691,0.218
5090000,14,66.3379,-3778.13,7.39099,0.246
5100000,11,54.2893,-3811.54,2.73147,0.273
5110000,11,54.3581,-3809.27,4.41895,0.240375
5120000,9,38.1522,-3810.86,6.62042,0.233833
5130000,11,47.9238,-3808.29,5.20768,0.249
5140000,10,45.5056,-3815.94,4.74088,0.212
5150000,9,39.5186,-3822.85,5.5942,0.209889
5160000,15,61.4826,-3777.14,12.3623,0.221
5170000,14,61.478,-3780.48,11.1491,0.198
5180000,14,65.4197,-3779.75,6.87163,0.249
5190000,13,59.111,-3773.38,7.55919,0.246
5200000,9,34.3559,-3825.61,6.53387,0.231
5210000,8,31.0174,-3816.61,5.89927,0.20175
5220000,8,33.2328,-3816.11,7.54514,0.201
5230000,14,65.9007,-3778.11,7.11288,0.243
5240000,14,66.4099,-3777.67,4.1998,0.246
5250000,8,35.1015,-3814.27,4.68612,0.208
5260000,15,73,-3779.62,7.50985,0.268
5270000,9,35.3265,-3815.93,6.51352,0.206
5280000,14,59.9617,-3768.91,11.8707,0.235
5290000,14,61.8345,-3763.42,6.52476,0.2392
5300000,17,74.9189,-3766.13,10.3094,0.288
5310000,10,43.6043,-3810.81,5.52625,0.211667
5320000,10,40.0209,-3820.22,5.95234,0.22075
5330000,7,31.2027,-3833.11,5.02195,0.207537
