generation,N_shifts,logPrior,logLik,eventRate,acceptRate
161540000,11,46.9727,-3800.63,8.66396,0.257
161550000,13,53.3572,-3796.49,7.91964,0.3
161560000,9,38.7762,-3806.56,4.98546,0.269
161570000,11,46.3,-3819.09,6.28059,0.237429
161580000,10,37.2332,-3802,4.83493,0.263
161590000,8,35.1176,-3812.47,5.61978,0.248438
161600000,10,38.4285,-3802.43,5.71479,0.251
161610000,10,47.0808,-3805.47,5.47513,0.31475
161620000,9,33.8403,-3798.72,3.8679,0.2
161630000,10,40.4308,-3810.23,5.43847,0.2152
161640000,8,33.2515,-3814.4,4.38011,0.26125
161650000,11,48.5347,-3813.93,9.70592,0.301
161660000,11,44.0618,-3786.57,4.35608,0.237
161670000,8,39.1049,-3824.68,1.89201,0.22
161680000,8,34.3118,-3801.1,3.98967,0.2134
161690000,8,37.1797,-3821.29,4.39084,0.28
161700000,11,44.153,-3805.35,5.54779,0.299
161710000,9,40.5649,-3811.61,4.33931,0.287
