0.8395	
Scutellista_caerulea_USNMENT01322102	CHAL	0.00645
Spalangia_sp_JRAS06352_0289_0289	CHAL	0.00645
Systasis_sp_USNMENT01322057	CHAL	0.00645
Teasienna_sp_USNMENT01322107	CHAL	0.00645
Theocolax_elegans_USNMENT01322095	CHAL	0.00645
Chartocerus_sp_JRAS07600_0201	CHAL	0.00645
Clytina_giraudi_JRAS07820_0189	CHAL	0.00645
Signiphora_sp_JRAS07789_0189	CHAL	0.00645
Tanaostigma_stanleyi_USNMENT01322081	CHAL	0.00645
Tanaostigmodes_albiclavus_USNMENT01322080	CHAL	0.00645
Tetracampe_sp_JRAS07821_0101	CHAL	0.00645
Chalcimerus_borceai_JRAS01317_0301	CHAL	0.00645
Glyphomerus_stigma_JRAS05562_0599	CHAL	0.00645
Monodontomerus_sp2_USNMENT01322181	CHAL	0.00645
Palmon_sp_USNMENT01322085	CHAL	0.00645
Physothorax_pallidus_USNMENT01322087	CHAL	0.00645
Podagrionella_sp_USNMENT01322086	CHAL	0.00645
Torymoides_sulcius_USNMENT01322088	CHAL	0.00645
Torymus_sp_USNMENT01322178	CHAL	0.00645
Mirufens_longicauda_JRAS07597_0501	CHAL	0.00645
Pseudoligosita_gracilior_JRAS07625_0489	CHAL	0.00645
Polistomorpha_fasciata_JRAS07624_0301	CHAL	0.00645
Anagrus_sp_USNMENT01322527	CHAL	0.00645
Cnecomymar_sp_USNMENT01322528	CHAL	0.00645
Cosmocomoidea_morrilli_USNMENT01322077	CHAL	0.00645
Erythmelus_sp2_USNMENT01339651	CHAL	0.00645
Polynema_near_needhami_USNMENT01322078	CHAL	0.00645
Chiloe_micropteron_JRAS07627_0189	CHAL	0.00645
Argochrysis_armilla_EX434	CHRY	0.0012
Chrysis_sp_EX561	CHRY	0.0012
Loboscelidia_sp_EX554	CHRY	0.0012
CHYP_Chyphotes_mellipes_HPG7	CHYP	0.03077
CHYP_Chyphotes_sp_EX553	CHYP	0.03077
Callomelitta_antipodes_BND687	COLL	0.00314
Caupolicana_yarrowi_BND654	COLL	0.00314
Colletes_dimidiatus_BND283	COLL	0.00314
Euryglossa_ephippiata_BND691	COLL	0.00314
Hylaeus_elegans_BND1310	COLL	0.00314
Neopasiphae_mirabilis_BND1312	COLL	0.00314
Scrapter_heterodoxus_BND904	COLL	0.00314
Xanthesma_furcifera_BND710	COLL	0.00314
Oxybelus_analis_EX443	CRAB	0.00103
Pison_chilense_BND1250	CRAB	0.00103
Plenoculus_cockerelli_BND809	CRAB	0.00103
Tachysphex_alayoi_EX402	CRAB	0.00103
Trypoxylon_sp_EX403	CRAB	0.00103
Acraspis_villosa_USNMENT01322264	CYNI	0.02013
Ampibolips_hidalgoensis_USNMENT01339676	CYNI	0.02013
Andricus_lucidus_USNMENT01322256	CYNI	0.02013
Andricus_quercusoperator_USNMENT01322298	CYNI	0.02013
Andricus_sp_USNMENT00877721	CYNI	0.02013
Antistrophus_minor_USNMENT01322280	CYNI	0.02013
Aphelonix_persica_USNMENT01322296	CYNI	0.02013
Atrusca_bella_USNMENT00892683	CYNI	0.02013
Aulacidea_hieracii_USNMENT01322279	CYNI	0.02013
Aylax_salviae_USNMENT01322277	CYNI	0.02013
Callirhytis_eldoradensis_USNMENT00893402	CYNI	0.02013
Ceroptres_sp_USNMENT01322294	CYNI	0.02013
Cynips_plumbea_USNMENT01322300	CYNI	0.02013
Diastrophus_turgidus_USNMENT01322311	CYNI	0.02013
Disholcaspis_quercusmamma_EX579	CYNI	0.02013
Dryocosmus_rileypokei_USNMENT01322317	CYNI	0.02013
Holocynips_hartmani_USNMENT01322321	CYNI	0.02013
Isocolcus_scabiosae_USNMENT01322273	CYNI	0.02013
Neuroterus_distortus_USNMENT01322326	CYNI	0.02013
Periclistus_sp1_USNMENT01322291	CYNI	0.02013
Phanacis_sp_USNMENT00653613	CYNI	0.02013
Plagiotrochus_suburi_USNMENT01322345	CYNI	0.02013
Rhoophilus_loewi_USNMENT01322293	CYNI	0.02013
Synergus_sp_USNMENT01322283	CYNI	0.02013
Synophromorpha_sylvestris_USNMENT01322282	CYNI	0.02013
Synophrus_pilulae_USNMENT00961203	CYNI	0.02013
Zapatella_davisae_USNMENT01322330	CYNI	0.02013
Aclista_sp_USNMENT01322344	DIAP	0.00722
Basalys_sp_USNMENT01322288	DIAP	0.00722
Belyta_sp_USNMENT01322343	DIAP	0.00722
Cinetus_sp_USNMENT01322342	DIAP	0.00722
Coptera_sp_USNMENT01322289	DIAP	0.00722
Diapria_conica_USNMENT01322287	DIAP	0.00722
Entomacis_sp_EX486	DIAP	0.00722
Miota_sp_USNMENT01322341	DIAP	0.00722
Pantoclis_sp_USNMENT01322340	DIAP	0.00722
Paramesius_sp_USNMENT01322286	DIAP	0.00722
Propsilomma_columbianum_USNMENT01322336	DIAP	0.00722
Spilomicrus_sp_USNMENT01322337	DIAP	0.00722
Trichopria_sp_USNMENT01322335	DIAP	0.00722
Zygota_sp_USNMENT01322354	DIAP	0.00722
Ismarus_sp_USNMENT01197715	DIAP	0.00722
Diplolepis_bicolor_USNMENT01322275	DIPL	0.01613
Deinodryinus_atriventris_EX475	DRYI	0.00062
Embolemidae_sp_EX483	EMBO	0.02564
Eschatocerus_niger_USNMENT01322270	ESCH	0.33333
Brachygaster_BRV003_PSUC_FEM188507	EVAN	0.01559
Evania_albofacialis_PSUC_FEM188504	EVAN	0.01559
Evaniella_semaeoda_USNMENT01322217	EVAN	0.01559
Hyptia_harpyoides_USNMENT01339668	EVAN	0.01559
Micrevania_DERV064_PSUC_FEM188505	EVAN	0.01559
Szepligetella_DERV047_PSUC_FEM188503	EVAN	0.01559
Zeuxevania_sp_PSUC_FEM188508	EVAN	0.01559
Acanthaegilips_brasiliensis_USNMENT01339636	FIGI	0.0258
Aegilips_sp3_USNMENT01339647	FIGI	0.0258
Alloxysta_sp1_USNMENT01339609	FIGI	0.0258
Anacharis_sp_USNMENT01339612	FIGI	0.0258
Apocharips_trapezoidea_USNMENT01322156	FIGI	0.0258
Aspicera_hartigi_USNMENT01322148	FIGI	0.0258
Aegilips_chilensis_USNMENT01339639	FIGI	0.0258
Dilyta_sp1_USNMENT01339646	FIGI	0.0258
Euceroptres_montanus_USNMENT01322161	FIGI	0.0258
Figites_sp_USNMENT01322163	FIGI	0.0258
Ganaspis_brasiliensis_USNMENT01339685	FIGI	0.0258
Ganaspis_sp2_USNMENT01339603	FIGI	0.0258
Gronotoma_sp_USNMENT00877589	FIGI	0.0258
Hexacharis_flavipes_USNMENT01339633	FIGI	0.0258
Kleidotoma_sp1_USNMENT01339641	FIGI	0.0258
Leptolamina_ponapenis_USNMENT01339637	FIGI	0.0258
Leptopilina_japonica_USNMENT01339619	FIGI	0.0258
Lonchidia_sp1_USNMENT01339616	FIGI	0.0258
Lytoxysta_brevipalpus_USNMENT01322157	FIGI	0.0258
Melanips_sp_USNMENT01322150	FIGI	0.0258
Mikeius_hartigi_USNMENT01322169	FIGI	0.0258
Myrtopsen_mimosae_USNMENT01322134	FIGI	0.0258
Nordlandiella_semirufa_USNMENT01339644	FIGI	0.0258
Odonteucoila_sp1_USNMENT01339643	FIGI	0.0258
Omalaspis_sp_USNMENT01322151	FIGI	0.0258
Paraspicera_sp_USNMENT01322152	FIGI	0.0258
Parnips_nigripes_USNMENT01322129	FIGI	0.0258
Phaenoglyphis_sp1_USNMENT01339640	FIGI	0.0258
Plectocynips_pilosus_USNMENT01322170	FIGI	0.0258
Rhoptromeris_sp1_USNMENT01339642	FIGI	0.0258
Sarothrus_sp2_USNMENT01339611	FIGI	0.0258
Scutimica_sp_USNMENT01322133	FIGI	0.0258
Striatovertex_sp_USNMENT00653899	FIGI	0.0258
Thoreauella_sp1_USNMENT01339615	FIGI	0.0258
Trichoplasta_sp1_USNMENT01339635	FIGI	0.0258
Trybliographa_sp_USNMENT00877722	FIGI	0.0258
Tylosema_dayae_USNMENT01322132	FIGI	0.0258
Xyalaspis_sp_USNMENT01339604	FIGI	0.0258
Xyalophora_sp1_USNMENT01339617	FIGI	0.0258
Zaeucoila_robusta_USNMENT01339614	FIGI	0.0258
Heteribalia_sp_USNMENT01339673	FIGI	0.0258
